pair,1mo,1wk,1d,60m,30m,15m,5m,1mo strength,1wk strength,1d strength,60m strength,30m strength,15m strength,5m strength
audcad,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,red,red,red,green,red,green,green
audchf,2021-04-01 2:00:00,2021-05-31 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,green,red,red,red,red,red,red
euraud,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,green,green,green,red,green,red,red
gbpaud,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,green,green,green,red,green,red,red
audjpy,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,green,green,green,green,red,green,red
audnzd,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,red,red,red,green,red,green,green
audusd,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,green,green,red,green,red,green,red
cadchf,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,green,green,green,red,green,red,red
eurcad,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,red,red,red,green,green,green,green
gbpcad,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,red,red,green,red,green,green,green
cadjpy,2021-04-01 2:00:00,2021-05-24 2:00:00,2021-05-31 2:00:00,2021-06-01 18:00:00,2021-05-28 19:00:00,2021-06-01 19:00:00,2021-06-01 19:15:00,green,green,green,green,red,red,red
